name,formula,smiles,molar_mass,logp,h_bond_donors,h_bond_acceptors
water,H2O,O,18.02,-0.82,0,0
methane,CH4,C,16.04,0.64,0,0
ethanol,C2H6O,CCO,46.07,0.0,1,1
acetic acid,C2H4O2,CC(=O)O,60.05,0.09,1,1
benzene,C6H6,c1ccccc1,78.11,1.69,0,0
glucose,C6H12O6,OCC1OC(O)C(O)C(O)C1O,180.16,-3.22,5,6
paracetamol,C8H9NO2,CC(=O)Nc1ccc(O)cc1,151.16,1.35,2,2
aspirin,C9H8O4,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,1,3
caffeine,C8H10N4O2,Cn1cnc2c1c(=O)n(C)c(=O)n2C,194.19,-1.03,0,3
ibuprofen,C13H18O2,CC(C)Cc1ccc(cc1)C(C)C(=O)O,206.28,3.07,1,1
cholesterol,C27H46O,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,386.66,7.39,1,1
sucrose,C12H22O11,OC1C(O)C(O)C(OC1CO)OC1(CO)OC(CO)C(O)C1O,342.3,-5.4,8,11
atorvastatin,C33H35FN2O5,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,558.65,6.31,4,4
